adju_geo_region_name,geo_dma_bespoke,adju_geo_city
VALLADOLID,CASTILLA_Y_LEON,VILLAFRECHOS
LA_CORUNA,GALICIA,CANABAL
LA_CORUNA,GALICIA,LARANGA
NAVARRA,NAVARRA,LERGA
ALICANTE,VALENCIA,ELX
ALBACETE,CASTILLA_LA_MANCHA,LA_GINETA
BADAJOZ,EXTREMADURA,ACEDERA
LA_CORUNA,GALICIA,LIANS
CADIZ,ANDALUCIA,ARCOS_DE_LA_FRONTERA
CASTELLON,VALENCIA,LA_VILAVELLA
LAS_PALMAS,CANARIAS,JINAMAR
LAS_PALMAS,CANARIAS,TIAGUA
GIRONA,CATALUNA_,VILAMALLA
HUESCA,ARAGON,LOPORZANO
LERIDA,CATALUNA_,SUDANELL
LEON,CASTILLA_Y_LEON,SAN_PEDRO_DE_OLLEROS
MALAGA,ANDALUCIA,CHURRIANA
NAVARRA,NAVARRA,PITILLAS
ISLAS_BALEARES,ISLAS_BALEARES,PORTOCOLOM
CANTABRIA,CANTABRIA,ELECHAS
SALAMANCA,CASTILLA_Y_LEON,CASAS_DE_MONLEON
SEVILLA,ANDALUCIA,EL_RUBIO
SEVILLA,ANDALUCIA,LA_RODA_DE_ANDALUCIA
TARRAGONA,CATALUNA_,COMA_RUGA
TOLEDO,CASTILLA_LA_MANCHA,BARGAS
VALENCIA,VALENCIA,ALBOY
ZAMORA,CASTILLA_Y_LEON,FUENTES_DE_ROPEL
GIRONA,CATALUNA_,MOLLET_DE_PERALADA
LEON,CASTILLA_Y_LEON,VILLAQUEJIDA
MADRID,MADRID,MONTEPRINCIPE
NAVARRA,NAVARRA,BETELU
ASTURIAS,ASTURIAS,SIERO
AVILA,CASTILLA_Y_LEON,HOYORREDONDO
AVILA,CASTILLA_Y_LEON,MARTINEZ
BADAJOZ,EXTREMADURA,VILLAFRANCA_DE_LOS_BARROS
CACERES,EXTREMADURA,ALDEA_DEL_CANO
CACERES,EXTREMADURA,VEGAVIANA
CORDOBA,ANDALUCIA,PEDRO_ABAD
GIRONA,CATALUNA_,LA_MOLINA
GUADALAJARA,CASTILLA_LA_MANCHA,ALGORA
HUESCA,ARAGON,ASCASO
LUGO,GALICIA,CABANELA
MALAGA,ANDALUCIA,BENALMADENA
MALAGA,ANDALUCIA,VILLANUEVA_DE_ALGAIDAS
MURCIA,MURCIA,POZO_DE_LOS_PALOS
ASTURIAS,ASTURIAS,EL_PINO
ASTURIAS,ASTURIAS,EL_VALLE
ORENSE,GALICIA,SAN_CIBRAO_DAS_VINAS
ORENSE,GALICIA,TRIVES
ORENSE,GALICIA,VENTOSELA
ORENSE,GALICIA,XINZO_DE_LIMIA
PALENCIA,CASTILLA_Y_LEON,BASCONES_DE_OJEDA
PONTEVEDRA,GALICIA,CALDELAS_DE_MINO
CANTABRIA,CANTABRIA,HERAS
SALAMANCA,CASTILLA_Y_LEON,CABRERIZOS
SALAMANCA,CASTILLA_Y_LEON,VECINOS
SEVILLA,ANDALUCIA,LA_LANTEJUELA
SORIA,CASTILLA_Y_LEON,SAN_ESTEBAN_DE_GORMAZ
TARRAGONA,CATALUNA_,ASCO
TARRAGONA,CATALUNA_,GRATALLOPS
TERUEL,ARAGON,CALANDA
TERUEL,ARAGON,LA_CUBA
TERUEL,ARAGON,MOSQUERUELA
TOLEDO,CASTILLA_LA_MANCHA,CIRUELOS
VALENCIA,VALENCIA,BENISANO
VALLADOLID,CASTILLA_Y_LEON,CUBILLAS_DE_SANTA_MARTA
LA_CORUNA,GALICIA,CASTELLANA
CASTELLON,VALENCIA,ARTANA
LAS_PALMAS,CANARIAS,TEMISAS
LERIDA,CATALUNA_,BURGUET
ALBACETE,CASTILLA_LA_MANCHA,HORNO_CIEGO
ALBACETE,CASTILLA_LA_MANCHA,VIANOS
AVILA,CASTILLA_Y_LEON,PEGUERINOS
VIZCAYA,PAIS_VASCO,FRUIZ
CACERES,EXTREMADURA,BARRADO
CIUDAD_REAL,CASTILLA_LA_MANCHA,FERNAN_CABALLERO
GIRONA,CATALUNA_,LA_PERA
GIRONA,CATALUNA_,VILABERTRAN
LERIDA,CATALUNA_,SARROCA_DE_LLEIDA
LA_RIOJA,LA_RIOJA,EL_REDAL
LUGO,GALICIA,NADELA
MADRID,MADRID,NAVALESPINO
ISLAS_BALEARES,ISLAS_BALEARES,LAS_CANTERAS
PONTEVEDRA,GALICIA,A_BOUZA
PONTEVEDRA,GALICIA,OLIVEIRA
CANTABRIA,CANTABRIA,SANTILLANA_DEL_MAR
GUIPUZCOA,PAIS_VASCO,LEGAZPI
TERUEL,ARAGON,LIBROS
VALLADOLID,CASTILLA_Y_LEON,CANALEJAS_DE_PENAFIEL
ALAVA,PAIS_VASCO,OCIO
ZARAGOZA,ARAGON,TAUSTE
BURGOS,CASTILLA_Y_LEON,BURGOS
CIUDAD_REAL,CASTILLA_LA_MANCHA,BARRIADA_RIO_OJAILEN
HUESCA,ARAGON,CONCHEL
LEON,CASTILLA_Y_LEON,GORDALIZA_DEL_PINO
ASTURIAS,ASTURIAS,PERLORA
ALICANTE,VALENCIA,BETERA
LA_CORUNA,GALICIA,INSUA
CACERES,EXTREMADURA,ALCANTARA
CORDOBA,ANDALUCIA,NUEVA_CARTEYA
GRANADA,ANDALUCIA,ALBUNUELAS
GRANADA,ANDALUCIA,CULLAR
JAEN,ANDALUCIA,GUARROMAN
LEON,CASTILLA_Y_LEON,GRAJAL_DE_LA_RIBERA
LEON,CASTILLA_Y_LEON,NISTAL
LUGO,GALICIA,SARRIA
NAVARRA,NAVARRA,EUGI
ASTURIAS,ASTURIAS,COANA
ASTURIAS,ASTURIAS,SEOANE
PONTEVEDRA,GALICIA,SETECOROS
SEGOVIA,CASTILLA_Y_LEON,HONTANARES_DE_ERESMA
SEGOVIA,CASTILLA_Y_LEON,ZARZUELA_DEL_MONTE
SANTA_CRUZ_DE_TENERIFE,CANARIAS,EL_PINAR
